"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 위원회 조직","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직,부패예방 및 청렴 강화","0.01","0.0","3.0","3","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성,부패예방 및 청렴 강화","0.01","0.0","6.0","6","H"
"ESG 관련 캠페인,ESG 위원회 조직,지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,지역사회 ESG 교육 프로그램,청정 재생에너지,캠퍼스 차량,ESG 비교과 프로그램 개발 및 운영,ESG 관련 학생 동아리,ESG 교육과정 및 교수학습 방법","0.0","0.01","0.4","1","H"
"지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,ESG 위원회 조직,ESG 관련 캠페인,지역사회 ESG 교육 프로그램","0.0","0.01","0.4","1","H"
"지역사회 ESG 파트너십,에너지 사용 절감 및 체계적 관리,ESG 관련 캠페인,ESG 위원회 조직,지역사회 ESG 교육 프로그램","0.0","0.01","0.5","1","H"
"회계의 투명성 관리,ESG 운영위원회의 다양성,부패예방 및 청렴 강화","0.01","0.0","3.0","3","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,부패예방 및 청렴 강화","0.01","0.0","3.0","3","H"
"유해 폐기물관리,폐기물 배출","0.01","0.0","6.0","6","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 관련 캠페인","0.01","0.0","4.0","4","H"
"부패예방 및 청렴 강화,지역사회 ESG 교육 프로그램,회계의 투명성 관리","0.01","0.0","3.0","3","H"
"폐기물 배출,ESG 관련 캠페인","0.01","0.0","6.0","6","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,회계의 투명성 관리","0.01","0.0","3.0","3","H"
"인권침해 예방 및 인권보장,부패예방 및 청렴 강화","0.01","0.0","4.0","4","H"
"ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법,지역사회 ESG 파트너십","0.0","0.01","0.8","1","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,ESG 위원회 조직,지역사회 ESG 교육 프로그램","0.0","0.01","0.4","1","H"
"유해 폐기물관리,청정 재생에너지","0.0","0.01","0.4","1","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,ESG 위원회 조직,지역사회 ESG 교육 프로그램,에너지 사용 절감 및 체계적 관리","0.0","0.01","0.4","1","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램","0.01","0.0","7.0","7","H"
