title,matched_categories_ml,matched_scores_ml,source
'그린바이오 벤처 캠퍼스' 올해는 반드시 유치,,,industry_risk
경남도-14개 유관기관·기업 '그린바이오 산업 육성·발전' 맞손,,,industry_risk
그린바이오로 농업 미래성장산업화 추진,,,industry_risk
정헌율 익산시장 “신산업 선점할 전략 마련”… ‘그린바이오·푸드테...,,,industry_risk
경남 그린바이오 산업 육성 박차,,,industry_risk
[기고]진주는 그린바이오 산업의 최적지,,,industry_risk
경남 '그린바이오 벤처 캠퍼스' 유치 의지 피력,,,industry_risk
"경남도, 농식품부 방문 그린바이오 벤처 캠퍼스 지원 건의",,,industry_risk
"폴리텍대학, 전국 35개 캠퍼스 2022학년도 졸업식",,,industry_risk
폴리텍대 전국 35개 캠퍼스 2022 졸업식 개최,,,industry_risk
"폴리텍대, '로봇캠퍼스' 1기 졸업생 취업률 무려 90%",,,industry_risk
"대학 졸업과 함께 성공한 취업…폴리텍, 전국 35개 캠퍼스서 졸업식",,,industry_risk
한국폴리텍대학 졸업생 취업률 상종가… 오늘 35개 캠퍼스 졸업식,,,industry_risk
[부고] 이홍천(동국대 WISE캠퍼스 글로벌어문학부 교수)씨 모친상,,,industry_risk
창원대 스마트그린공학부 박경훈 교수 '경남 청년정책조정위원회' 위촉...,,,industry_risk
"조규일 진주시장, 농식품부서 '도농 상생발전' 건의",,,industry_risk
"조규일 시장, 정황근 농림부 장관 면담…농촌협약 등 건의",,,industry_risk
"조규일 진주시장, 정황근 농림축산식품부 장관 면담",,,industry_risk
"조규일 진주시장, 정황근 농림축산식품부 장관 만나 농업분야 현안사업...",,,industry_risk
"조규일 진주시장, 정황근 장관 만나 주요 현안 적극 건의",,,industry_risk
"한양대 ERICA캠퍼스, 2023년‘K-디지털 플랫폼 사업’ 선정...지능형로봇...",,,industry_risk
[부고] 이홍대(엠엔비그린어스 대표이사)씨 모친상,,,industry_risk
기업 현장처럼 ‘협업 프로젝트’… 반도체·AI 등 인재 육성 박차,,,industry_risk
공시생에서 여성 정비사로 꽃길… 국가자격증으로 은퇴자 승승장구,,,industry_risk
"한국을 사랑한 위트컴 장군 특별전...박수영 의원 ""한미동맹의 상징, 업...",,,industry_risk
"리차드 위트컴 장군 국회 특별전 개막...박수영 ""한미동맹의 상징""",,,industry_risk
"성신여대, 2023 신입생 오리엔테이션 4년 만에 '대면' 진행",,,industry_risk
"성신여대, 신입생 2400명 대상 오리엔테이션",,,industry_risk
"성신여대, 4년 만에 대면 신입생 오리엔테이션 '활기'",,,industry_risk
"카카오임팩트, KAIST와 맞손…사회문제 해결 위한 기술 생태계 조성'",지역사회 ESG 파트너십,0.407,industry_risk
조용익 부천시장 “첨단기업도시 만들겠다”,,,industry_risk
